OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,REPORT_AC,GIS_ACRES,OBJECTIVE,SHAPEAREA,SHAPELEN
33889,2010,CA,USF,SQF,BULL,2701,2010/07/25 00:00:00+00,2010/07/31 00:00:00+00,16442,16448.22460938,1,101433591.493546,75380.471792546
33890,2010,CA,USF,SQF,CANYON,003564,2010/09/12 00:00:00+00,2010/09/24 00:00:00+00,9820,9336.10742188,1,57206017.6869037,70270.7242429781
34636,2016,CA,CDF,MVU,BORDER 3,014498,2016/06/19 00:00:00+00,2016/07/07 00:00:00+00,7609,7606.02636719,1,43496574.9484406,60505.4250899179
34642,2016,CA,DOD,AFV,CANYON,,,2016/09/28 00:00:00+00,,12713.62207031,1,76109524.8749933,51201.069588166
38718,2010,CA,CCO,LAC,CROWN,169202,2010/07/29 00:00:00+00,2010/08/02 00:00:00+00,13918,12582.27539063,1,75287110.2227045,99892.1142997673
38769,2010,CA,BLM,NOD,MCDONALD,00003688,2010/07/26 00:00:00+00,2010/08/10 00:00:00+00,9408,9406.03320313,1,66786673.6931694,87739.369786174
38844,2011,CA,CDF,BDU,JOHN,00010475,2011/09/13 00:00:00+00,2011/09/16 00:00:00+00,5353,5799.84130859,1,36981655.8429717,25623.9012999982
38919,2011,CA,CCO,KRN,ANTELOPE,1117988,2011/06/19 00:00:00+00,2011/06/21 00:00:00+00,5196,5068.75341797,1,30984982.2645411,32885.4190348756
38923,2011,CA,CCO,KRN,BRECKENRIDGE COMPLEX,01127969,2011/09/10 00:00:00+00,2011/09/17 00:00:00+00,25230,25223.41210938,1,153998209.230148,108936.958165441
38925,2011,CA,CCO,KRN,CANYON,01127244,2011/09/04 00:00:00+00,2011/09/10 00:00:00+00,14585,14585.359375,1,88202155.6160928,73058.5831931104
38927,2011,CA,CCO,KRN,COMANCHE,01127933,2011/09/10 00:00:00+00,2011/09/17 00:00:00+00,25938,25939.01171875,1,157240316.951772,82556.8149346594
38939,2011,CA,CCO,KRN,REED,01127925,2011/09/10 00:00:00+00,2011/09/11 00:00:00+00,5900,5899.56835938,1,36122198.9244026,30547.1198528363
38993,2011,CA,CDF,MVU,EAGLE,00008019,2011/07/21 00:00:00+00,2011/07/29 00:00:00+00,14100,13992.9921875,1,81301191.8667958,106704.092969177
