,date,columns,crs
0,2005-08-05 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
1,2005-08-06 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
2,2005-08-07 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
3,2005-08-08 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
4,2005-08-11 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
5,2005-08-12 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
6,2005-08-13 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
7,2005-08-14 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
8,2005-08-15 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
9,2005-08-16 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
10,2005-08-17 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
11,2005-08-18 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
12,2005-08-19 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
13,2005-08-20 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
14,2005-08-21 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
15,2005-08-22 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
16,2005-08-23 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
17,2005-08-24 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
18,2005-08-25 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
19,2005-08-26 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
20,2005-08-27 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
21,2005-08-28 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
22,2005-08-29 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
23,2005-08-30 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
24,2005-08-31 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
25,2005-09-01 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
26,2005-09-02 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
27,2005-09-03 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
28,2005-09-04 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
29,2005-09-05 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
30,2005-09-06 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
31,2005-09-07 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
32,2005-09-08 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
33,2005-09-09 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
34,2005-09-10 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
35,2005-09-11 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
36,2005-09-12 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
37,2005-09-13 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
38,2005-09-14 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
39,2005-09-15 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
40,2005-09-16 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
41,2005-09-17 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
42,2005-09-18 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
43,2005-09-19 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
44,2005-09-20 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
45,2005-09-21 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
46,2005-09-22 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
47,2005-09-23 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
48,2005-09-24 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
49,2005-09-25 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
50,2005-09-26 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
51,2005-09-27 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
52,2005-09-28 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
53,2005-09-29 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
54,2005-09-30 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
55,2005-10-01 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
56,2005-10-02 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
57,2005-10-03 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
58,2005-10-04 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
59,2005-10-05 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
60,2005-10-06 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
61,2005-10-07 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
62,2005-10-08 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
63,2005-10-09 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
64,2005-10-10 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
65,2005-10-11 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
66,2005-10-12 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
67,2005-10-13 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
68,2005-10-14 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
69,2005-10-15 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
70,2005-10-16 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
71,2005-10-17 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
72,2005-10-18 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
73,2005-10-19 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
74,2005-10-20 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
75,2005-10-21 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
76,2005-10-22 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
77,2005-10-23 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
78,2005-10-24 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
79,2005-10-25 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
80,2005-10-26 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
81,2005-10-27 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
82,2005-10-28 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
83,2005-10-29 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
84,2005-10-30 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
85,2005-10-31 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
86,2005-11-01 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
87,2005-11-02 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
88,2005-11-03 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
89,2005-11-04 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
90,2005-11-05 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
91,2005-11-06 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
92,2005-11-07 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
93,2005-11-08 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
94,2005-11-09 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
95,2005-11-10 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
96,2005-11-11 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
97,2005-11-12 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
98,2005-11-13 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
99,2005-11-14 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
100,2005-11-15 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
101,2005-11-16 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
102,2005-11-17 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
103,2005-11-18 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
104,2005-11-19 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
105,2005-11-20 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
106,2005-11-21 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
107,2005-11-22 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
108,2005-11-23 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
109,2005-11-24 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
110,2005-11-25 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
111,2005-11-26 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
112,2005-11-27 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
113,2005-11-28 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
114,2005-11-29 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
115,2005-11-30 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
116,2005-12-01 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
117,2005-12-02 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
118,2005-12-03 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
119,2005-12-04 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
120,2005-12-05 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
121,2005-12-06 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
122,2005-12-07 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
123,2005-12-08 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
124,2005-12-09 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
125,2005-12-10 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
126,2005-12-11 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
127,2005-12-12 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
128,2005-12-13 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
129,2005-12-14 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
130,2005-12-15 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
131,2005-12-16 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
132,2005-12-17 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
133,2005-12-18 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
134,2005-12-19 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
135,2005-12-20 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
136,2005-12-21 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
137,2005-12-22 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
138,2005-12-23 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
139,2005-12-24 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
140,2005-12-25 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
141,2005-12-26 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
142,2005-12-27 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
143,2005-12-28 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
144,2005-12-29 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
145,2005-12-30 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
146,2005-12-31 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
147,2006-01-01 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
148,2006-01-02 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
149,2006-01-03 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
